Mean_FCC1,Mean_FCC2,Mean_FCC3,Mean_FCC4,Mean_FCC5,Mean_FCC6,Mean_FCC7,Mean_FCC8,Mean_FCC9,Mean_FCC10,Mean_FCC11,Mean_FCC12,STD_FCC1,STD_FCC2,STD_FCC3,STD_FCC4,STD_FCC5,STD_FCC6,STD_FCC7,STD_FCC8,STD_FCC9,STD_FCC10,STD_FCC11,STD_FCC12,SKEW_FCC1,SKEW_FCC2,SKEW_FCC3,SKEW_FCC4,SKEW_FCC5,SKEW_FCC6,SKEW_FCC7,SKEW_FCC8,SKEW_FCC9,SKEW_FCC10,SKEW_FCC11,SKEW_FCC12,KUR_FCC1,KUR_FCC2,KUR_FCC3,KUR_FCC4,KUR_FCC5,KUR_FCC6,KUR_FCC7,KUR_FCC8,KUR_FCC9,KUR_FCC10,KUR_FCC11,KUR_FCC12,DER1_FCC1,DER1_FCC2,DER1_FCC3,DER1_FCC4,DER1_FCC5,DER1_FCC6,DER1_FCC7,DER1_FCC8,DER1_FCC9,DER1_FCC10,DER1_FCC11,DER1_FCC12,DER2_FCC1,DER2_FCC2,DER2_FCC3,DER2_FCC4,DER2_FCC5,DER2_FCC6,DER2_FCC7,DER2_FCC8,DER2_FCC9,DER2_FCC10,DER2_FCC11,DER2_FCC12,LENGTH,MINFREC,MAXFREC,DOMFREC,CLASS
28.759,0.42995,0.58664,-0.67769,-0.2079,-0.23316,0.011603,-0.0087772,-0.049723,-0.024269,-2.674e-14,0.024269,0.73436,0.88589,0.753,0.71139,0.51337,0.26697,0.20526,0.244,0.13448,0.0995,8.4281e-16,0.0995,0.086623,-0.21206,-0.9807,-0.1364,0.44172,-0.1751,-0.12028,0.085605,-0.37009,0.64786,-0.12545,-0.64786,2.2592,1.8075,2.6843,2.172,1.9467,2.4143,1.4981,2.2393,1.7404,3.1864,1.7697,3.1864,0.17398,0.21587,-0.090698,-0.16366,-0.11265,-0.04088,-0.007618,0.017633,-0.004938,-0.019114,1.4602e-16,0.019114,-0.017447,-0.038154,-0.12731,-0.15773,-0.053366,-0.051075,0.051446,0.067556,-0.02449,-0.0017027,1.3443e-17,0.0017027,0.50534,3820,4712.5,4708.1,1
30.184,2.6089,0.2638,-0.95302,-0.77006,-0.56388,-0.049279,0.047853,-0.094713,-0.062376,-2.5295e-14,0.062376,0.77468,0.70718,0.42686,0.41364,0.3465,0.1565,0.14503,0.076395,0.10592,0.051407,1.0006e-15,0.051407,-0.029756,0.50547,-0.99769,-0.34719,0.14908,-1.0731,0.29179,-0.15677,0.10042,-0.15648,0.015741,0.15648,2.3485,2.3186,3.2392,1.6863,2.3649,2.7399,2.7367,1.4935,1.5327,1.676,2.0573,1.676,-0.066513,0.14107,0.095197,-0.0027118,-0.0021513,-0.017181,0.0053319,-0.017544,0.0037016,-0.00056449,2.1794e-16,0.00056449,0.058231,-0.0076603,-0.015071,-0.011322,0.036896,0.041423,0.0036673,0.0032315,0.0099629,0.010167,-4.2821e-17,-0.010167,0.65397,3888.7,4626.7,4082.4,1
30.135,1.9483,-0.6058,-0.95788,-0.32411,-0.26063,-0.057172,-0.062626,-0.051053,-0.013161,-2.5882e-14,0.013161,1.5441,0.48927,0.38477,0.69827,0.41659,0.17761,0.15697,0.084747,0.042557,0.034032,1.2953e-15,0.034032,0.86053,0.29516,-0.15885,-0.051982,0.50036,0.67153,0.10471,-0.67944,0.15071,0.003011,-1.8021,-0.003011,3.8838,2.2075,2.8787,2.1654,1.9731,2.1848,1.6174,2.0263,1.7521,2.5361,5.9214,2.5361,0.44953,0.11537,0.010648,-0.1585,-0.1084,0.017376,0.013514,-0.0094713,0.0025915,7.2852e-05,-2.2326e-16,-7.2852e-05,-0.062078,-0.045715,0.07713,0.13908,0.049254,-0.024906,0.029566,0.01971,-0.0057926,0.004453,-6.0091e-17,-0.004453,0.77287,3888.7,4575.2,4098.6,1
17.704,-1.9743,-0.2607,-0.11885,-0.088984,-0.022432,-0.047669,-0.0023582,-0.022246,0.00051335,-1.9208e-14,-0.00051335,2.8449,0.90171,0.33541,0.11006,0.057201,0.025694,0.017335,0.0082417,0.0060621,0.0021897,2.7282e-15,0.0021897,0.22431,0.040205,-0.43624,0.058608,-0.23548,0.31502,-0.85923,-0.018337,-0.91464,0.023691,-0.02378,-0.023691,1.8836,2.9355,2.0087,2.3989,2.7437,1.86,2.593,1.6739,2.6102,1.7056,1.7133,1.7056,-0.57041,-0.2534,0.079539,0.0090945,0.016017,0.0013211,0.0046811,0.00051216,0.0016211,0.00014952,2.0654e-16,-0.00014952,-0.035582,-0.038519,-0.028161,0.022969,0.0014085,0.0041319,-8.1059e-05,0.0013797,-3.0146e-05,0.0003589,-1.4925e-17,-0.0003589,0.17836,3923,4094.6,4089.8,1
32.497,1.5802,0.072029,-1.1798,-0.73454,-0.31017,-0.073094,-0.055459,-0.062113,0.0026815,-2.8554e-14,-0.0026815,1.3998,0.8952,0.39134,0.66264,0.45931,0.25743,0.11226,0.10289,0.077497,0.047766,1.3607e-15,0.047766,-0.47877,-0.77824,-0.45725,0.5231,-0.91688,-1.6717,0.60062,-0.36711,-0.018782,-0.64237,-0.72049,0.64237,2.1619,2.3351,1.6305,2.0269,3.1612,5.0553,2.2106,1.6949,1.6174,3.3636,3.0871,3.3636,0.18812,-0.063154,0.053233,0.016924,-0.0064916,-0.025674,0.018075,-0.0024749,-0.020961,-0.0035458,-2.7826e-16,0.0035458,0.39477,0.29265,0.11339,-0.17166,-0.048448,0.023413,-0.018633,0.021901,-0.010972,-0.00067854,4.9152e-17,0.00067854,1.1296,3837.2,4678.2,4079.4,1
29.228,1.3304,-2.1188,-1.4477,-0.29208,0.16663,-0.15334,-0.051807,-0.020792,0.00045032,-2.5282e-14,-0.00045032,1.9815,0.56912,0.7599,0.34659,0.28405,0.24738,0.22749,0.064906,0.090274,0.057671,1.3389e-15,0.057671,0.22386,-0.4558,0.26752,0.27677,-0.23307,0.092618,-0.5093,-0.55977,1.0312,-0.081607,-0.38853,0.081607,1.932,2.4607,1.7284,2.2665,1.8482,2.1045,2.5426,2.2305,2.5999,1.8063,1.7169,1.8063,0.050279,0.064611,0.066181,0.018239,-0.063947,-0.024968,-0.05602,-0.013857,-0.013887,-0.010416,2.5748e-17,0.010416,-0.6268,-0.083934,0.21785,0.079307,-0.013171,-0.026746,-0.0035276,-0.0058268,-0.0013762,0.006986,4.3943e-16,-0.006986,0.65397,3785.7,4523.7,4087.1,1
28.721,2.3869,-0.43317,-1.3924,-0.81679,-0.12579,0.032392,-0.10398,-0.056952,-0.01512,-2.3789e-14,0.01512,0.89464,0.5641,0.66115,0.28353,0.3307,0.19846,0.13238,0.080073,0.060873,0.051688,1.3422e-15,0.051688,0.11242,-0.76135,-0.18344,-0.26375,-0.74933,0.60783,0.36394,-0.12736,1.2238,0.68094,-0.9255,-0.68094,1.9893,3.0384,2.2607,2.4579,3.1762,2.1469,1.6433,2.8685,4.0432,2.1802,2.9181,2.1802,0.098467,-0.07051,0.18577,0.015219,-0.10422,-0.01893,0.0053434,0.016683,-0.0082149,-0.0053129,-2.0413e-16,0.0053129,-0.0088768,-0.019161,-0.036329,0.01266,0.0031211,-0.040658,0.014602,-0.0077501,0.0065901,-0.0073518,-4.5247e-17,0.0073518,0.56479,3854.4,4592.4,4085.8,1
29.489,1.2586,-1.3457,-0.94425,-0.4324,0.013602,-0.1798,-0.013179,-0.043605,-0.0021808,-2.5876e-14,0.0021808,2.1147,0.95378,0.92784,0.51873,0.19351,0.18514,0.13031,0.099869,0.050424,0.016641,1.2524e-15,0.016641,-0.25279,-0.42826,0.13127,-0.3932,-0.26813,1.0373,0.20313,0.57681,-0.17261,0.81412,0.031542,-0.81412,1.4371,1.886,1.6619,1.6812,2.0062,2.7549,2.5329,2.0428,3.0713,2.3138,1.8212,2.3138,-0.04123,-0.055661,0.13315,0.057233,0.0031258,-0.031875,0.0096577,-0.010428,-0.0088922,0.0014994,-7.4415e-17,-0.0014994,-0.55027,-0.26003,0.23071,0.070347,-0.030026,0.026385,0.003361,-0.017642,0.011574,0.0007021,1.5725e-16,-0.0007021,0.71342,3837.2,4455.1,4063.2,1
28.727,2.2452,-1.1452,-0.92128,-0.73201,0.053852,-0.10385,0.042232,-0.10045,0.025053,-2.3842e-14,-0.025053,1.7772,0.95103,0.30201,0.56815,0.2633,0.19403,0.14049,0.091209,0.051475,0.030027,8.0672e-16,0.030027,-0.71702,-0.23514,-1.0628,-0.23924,0.51386,-0.096994,0.52313,0.2721,0.21626,0.1899,0.85333,-0.1899,2.7305,1.3869,3.6419,1.6803,3.3663,2.2345,1.8109,2.9506,2.5471,2.5041,2.5653,2.5041,-0.13824,-0.077162,0.036753,-0.017043,0.048141,-0.038342,-0.020804,0.010525,0.0029242,-0.0024564,1.1648e-17,0.0024564,-0.42028,-0.22585,-0.025324,0.17096,0.052989,-0.026025,0.02543,0.0058043,0.0012688,0.0012099,5.1124e-17,-0.0012099,0.77287,3837.2,4540.9,4079.4,1
20.78,-1.0649,-1.091,0.042343,-0.11045,-0.024816,-0.039657,-0.0065768,-0.011581,4.3477e-05,-2.0921e-14,-4.3477e-05,1.446,0.8998,0.71432,0.24662,0.16197,0.092985,0.091289,0.038743,0.032045,0.010014,2.168e-15,0.010014,-0.0094306,-0.35074,-0.23727,0.27436,-0.16666,0.22872,1.4079,0.73169,1.7791,0.60657,-0.1534,-0.60657,2.1502,2.0648,2.2206,2.5071,2.4227,1.7658,4.6565,2.2712,5.7069,2.1943,2.0597,2.1943,-0.12801,0.2299,0.090231,-0.058239,0.0010156,-0.018207,0.0021865,-0.0079768,-0.00095829,-0.0028108,4.0303e-16,0.0028108,-0.0055465,-0.081437,0.089678,-0.030527,0.02308,0.0013799,0.0068694,0.00053689,0.0031436,0.00041127,-1.0626e-16,-0.00041127,0.29726,3871.5,4231.9,4086.8,1
